place_id,name,business_status,formatted_address,latitude,longitude,price_level,rating,user_ratings_total
ChIJb9pBLvT1NIgRiTY-50W4PAA,Rockefeller's Grille,OPERATIONAL,"1833 McKees Rocks Rd, McKees Rocks, PA 15136",40.4680611,-80.09488259999999,2,4.4,946
ChIJe5Wjhyj1NIgRJd2uIm_Y9do,Au’Driana’s II,OPERATIONAL,"719 Broadway Ave, McKees Rocks, PA 15136",40.472536,-80.0740972,,5,11
ChIJq6uowIr1NIgRpu7JnizI0I8,Bobby D's Burgers & Barbecue,OPERATIONAL,"564 Pine Hollow Rd, McKees Rocks, PA 15136",40.4748106,-80.0980786,2,4.3,476
ChIJ5Xv9xr_1NIgRZ9tg4BKZKvk,1905 Eatery,OPERATIONAL,"733 Broadway Ave, McKees Rocks, PA 15136",40.4726715,-80.0746447,2,4.7,160
ChIJGfyhEsb1NIgRsvGHYVX2xRo,The Snack Shop,OPERATIONAL,"906 Chartiers Ave, McKees Rocks, PA 15136",40.4658498,-80.06599,,4.4,13
ChIJlQTQt7_1NIgR8OCyUORpHw8,Mama Lena’s Pizza,OPERATIONAL,"732 Broadway Ave, McKees Rocks, PA 15136",40.4729513,-80.0744022,1,4.4,513
ChIJVT6QO7f1NIgRd_2d9VYCWPs,FABS RESTAURANT,OPERATIONAL,"811 Broadway Ave, McKees Rocks, PA 15136",40.4729594,-80.0751873,2,4.7,45
ChIJLXldM3_1NIgRjWw5qEJiyN8,SHAY AND BAEEE RESTAURANT & CATERING,OPERATIONAL,"824 Chartiers Ave, McKees Rocks, PA 15136",40.4659997,-80.0653011,,4.5,21
ChIJAWSDb272NIgRgotBKj6gHdU,Hanlon's Cafe,OPERATIONAL,"17 Foster Ave, Pittsburgh, PA 15205",40.4409843,-80.0693256,1,4.5,484
ChIJhYJfjL31NIgR3phOvhgBNEs,DBO's,OPERATIONAL,"635 Hillsboro St, Pittsburgh, PA 15204",40.4532124,-80.05370909999999,,4.8,15
ChIJqwwHp7_1NIgRE9svlIXBLsA,Hook Fish and Chicken,OPERATIONAL,"700 Broadway Ave, McKees Rocks, PA 15136",40.4725661,-80.0731923,1,4.1,349
ChIJV6GdqZP3NIgRpecys9fvIKc,Biryani House Restaurant LLC,OPERATIONAL,"238 Crafton Ingram Shopping Center, Crafton, PA 15205",40.4417329,-80.07063459999999,,4.7,41
ChIJOS307232NIgRcPrtTwNlngE,Mugshots Cafe,OPERATIONAL,"25 Walsh Rd, Pittsburgh, PA 15205",40.4397128,-80.0710659,1,4.1,294
ChIJy78m8Br2NIgRJtZcVL4lADI,Fireside Inn,OPERATIONAL,"4214 Steubenville Pike, Pittsburgh, PA 15205",40.439842,-80.089147,1,4.1,293
ChIJH4rRver1NIgRVFzbJQZ5eRY,Hunan Wok Chinese Takeout,OPERATIONAL,"500 Pine Hollow Rd, McKees Rocks, PA 15136",40.4738804,-80.0971718,2,4.1,111
ChIJCapHMF71NIgR_JxobXLFVc0,BIG SHOT BOB’s KENNEDY - THE ORIGINAL,OPERATIONAL,"1734 Pine Hollow Rd, McKees Rocks, PA 15136",40.4757774,-80.097523,,3.9,79
ChIJrc-UB2FfNIgR-dGX1w_19uc,Picasso's Pizza & Pasta,OPERATIONAL,"1770 Pine Hollow Rd, McKees Rocks, PA 15136",40.476512,-80.10075499999999,2,4.1,182
