date,site,parameter,index_value,description,health_advisory,health_effects
2016-01-01,Lawrenceville,PM25B,25,Good,,
2016-01-01,Flag Plaza,CO,0,Good,,
2016-01-01,Harrison Township,OZONE,31,Good,,
2016-01-01,Avalon,SO2,10,Good,,
2016-01-01,Lincoln,PM25,35,Good,,
2016-01-01,Lincoln,PM10,11,Good,,
2016-01-01,South Fayette,SO2,3,Good,,
2016-01-01,North Braddock,PM10B,12,Good,,
2016-01-01,Parkway East,CO,4,Good,,
2016-01-01,Flag Plaza,PM10,7,Good,,
2016-01-01,Liberty 2,PM25(2),28,Good,,
2016-01-01,Lawrenceville 2,SO2,1,Good,,
2016-01-01,Lawrenceville 2,CO,2,Good,,
2016-01-01,Harrison Township,NO2,3,Good,,
2016-01-01,Parkway East,NO2,6,Good,,
2016-01-01,Lawrenceville,OZONE,31,Good,,
2016-01-01,Liberty 2,PM10,6,Good,,
2016-01-01,Parkway East,PM25T,30,Good,,
2016-01-01,North Braddock,SO2,1,Good,,
2016-01-01,Glassport High Street,PM10,6,Good,,
2016-01-01,Liberty,SO2,3,Good,,
2016-01-02,North Braddock,PM10B,14,Good,,
2016-01-02,Lawrenceville,PM25B,40,Good,,
2016-01-02,South Fayette,SO2,3,Good,,
2016-01-02,Parkway East,CO,4,Good,,
2016-01-02,Lawrenceville 2,CO,2,Good,,
2016-01-02,Parkway East,NO2,8,Good,,
2016-01-02,Liberty 2,PM10,8,Good,,
2016-01-02,Lincoln,PM10,18,Good,,
2016-01-02,Lawrenceville,OZONE,21,Good,,
2016-01-02,Glassport High Street,PM10,6,Good,,
2016-01-02,Lincoln,PM25,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-02,Parkway East,PM25T,39,Good,,
2016-01-02,Liberty,SO2,23,Good,,
2016-01-02,Flag Plaza,CO,0,Good,,
2016-01-02,Harrison Township,OZONE,22,Good,,
2016-01-02,Flag Plaza,PM10,7,Good,,
2016-01-02,Avalon,SO2,56,Moderate,,
2016-01-02,Lawrenceville 2,SO2,5,Good,,
2016-01-02,Harrison Township,NO2,18,Good,,
2016-01-02,Liberty 2,PM25(2),42,Good,,
2016-01-02,North Braddock,SO2,9,Good,,
2016-01-03,Parkway East,CO,6,Good,,
2016-01-03,Parkway East,NO2,11,Good,,
2016-01-03,Flag Plaza,PM10,6,Good,,
2016-01-03,Lawrenceville 2,SO2,2,Good,,
2016-01-03,North Braddock,PM10B,16,Good,,
2016-01-03,Lawrenceville,PM25B,35,Good,,
2016-01-03,Lincoln,PM10,20,Good,,
2016-01-03,Liberty 2,PM25(2),33,Good,,
2016-01-03,South Fayette,SO2,3,Good,,
2016-01-03,Flag Plaza,CO,0,Good,,
2016-01-03,Liberty,SO2,20,Good,,
2016-01-03,Harrison Township,NO2,7,Good,,
2016-01-03,Harrison Township,OZONE,26,Good,,
2016-01-03,Lincoln,PM25,38,Good,,
2016-01-03,Avalon,SO2,40,Good,,
2016-01-03,North Braddock,SO2,7,Good,,
2016-01-03,Lawrenceville,OZONE,28,Good,,
2016-01-03,Glassport High Street,PM10,6,Good,,
2016-01-03,Parkway East,PM25T,38,Good,,
2016-01-03,Lawrenceville 2,CO,3,Good,,
2016-01-03,Liberty 2,PM10,10,Good,,
2016-01-04,Flag Plaza,CO,0,Good,,
2016-01-04,North Braddock,PM10B,11,Good,,
2016-01-04,Lawrenceville,PM25B,20,Good,,
2016-01-04,Harrison Township,NO2,4,Good,,
2016-01-04,Harrison Township,OZONE,31,Good,,
2016-01-04,Flag Plaza,PM10,12,Good,,
2016-01-04,Lincoln,PM25,15,Good,,
2016-01-04,North Braddock,SO2,1,Good,,
2016-01-04,Liberty 2,PM25(2),22,Good,,
2016-01-04,Lawrenceville 2,SO2,1,Good,,
2016-01-04,South Fayette,SO2,4,Good,,
2016-01-04,Parkway East,CO,5,Good,,
2016-01-04,Glassport High Street,PM10,6,Good,,
2016-01-04,Avalon,SO2,1,Good,,
2016-01-04,Liberty,SO2,0,Good,,
2016-01-04,Lawrenceville 2,CO,2,Good,,
2016-01-04,Lawrenceville,OZONE,29,Good,,
2016-01-04,Liberty 2,PM10,6,Good,,
2016-01-04,Parkway East,PM25T,18,Good,,
2016-01-04,Parkway East,NO2,15,Good,,
2016-01-04,Lincoln,PM10,12,Good,,
2016-01-05,Flag Plaza,CO,0,Good,,
2016-01-05,Harrison Township,OZONE,18,Good,,
2016-01-05,Lawrenceville,PM25B,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-05,Avalon,SO2,21,Good,,
2016-01-05,Liberty,SO2,21,Good,,
2016-01-05,Harrison Township,NO2,28,Good,,
2016-01-05,Lincoln,PM25,49,Good,,
2016-01-05,North Braddock,SO2,20,Good,,
2016-01-05,North Braddock,PM10B,24,Good,,
2016-01-05,Lincoln,PM10,19,Good,,
2016-01-05,Liberty 2,PM25(2),44,Good,,
2016-01-05,Lawrenceville 2,SO2,27,Good,,
2016-01-05,South Fayette,SO2,11,Good,,
2016-01-05,Parkway East,CO,7,Good,,
2016-01-05,Glassport High Street,PM10,9,Good,,
2016-01-05,Parkway East,NO2,27,Good,,
2016-01-05,Lawrenceville 2,CO,7,Good,,
2016-01-05,Lawrenceville,OZONE,17,Good,,
2016-01-05,Liberty 2,PM10,11,Good,,
2016-01-05,Parkway East,PM25T,46,Good,,
2016-01-05,Flag Plaza,PM10,20,Good,,
2016-01-06,Flag Plaza,CO,0,Good,,
2016-01-06,Glassport High Street,PM10,46,Good,,
2016-01-06,Lincoln,PM25,139,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
2016-01-06,Liberty 2,PM25(2),118,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
2016-01-06,Parkway East,NO2,29,Good,,
2016-01-06,Lincoln,PM10,70,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-06,Liberty 2,PM10,49,Good,,
2016-01-06,Parkway East,CO,8,Good,,
2016-01-06,Harrison Township,OZONE,13,Good,,
2016-01-06,Lawrenceville,OZONE,9,Good,,
2016-01-06,Lawrenceville,PM25B,71,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-06,Avalon,SO2,6,Good,,
2016-01-06,Liberty,SO2,36,Good,,
2016-01-06,Lawrenceville 2,CO,11,Good,,
2016-01-06,North Braddock,SO2,21,Good,,
2016-01-06,Harrison Township,NO2,34,Good,,
2016-01-06,Flag Plaza,PM10,42,Good,,
2016-01-06,North Braddock,PM10B,40,Good,,
2016-01-06,Parkway East,PM25T,61,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-06,Lawrenceville 2,SO2,10,Good,,
2016-01-06,South Fayette,SO2,10,Good,,
2016-01-07,Parkway East,CO,19,Good,,
2016-01-07,Lawrenceville,OZONE,3,Good,,
2016-01-07,Glassport High Street,PM10,57,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-07,Parkway East,NO2,40,Good,,
2016-01-07,Flag Plaza,PM10,50,Good,,
2016-01-07,Liberty 2,PM25(2),77,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-07,Lincoln,PM25,118,Unhealthy for Sensitive Groups,"People with heart or lung disease, older adults, and children should reduce prolonged or heavy exertion.","Increasing likelihood of respiratory symptoms in sensitive individuals, aggravation of heart or lung disease and premature mortality in people with cardiopulmonary disease and older adults."
2016-01-07,Parkway East,PM25T,67,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
2016-01-07,Liberty 2,PM10,49,Good,,
