place_id,name,latitude,longitude,formatted_address,street_number,route,neighborhood,postal_code,curbside_pickup,price_level,rating,user_ratings_total,sun_open,sun_close,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close
ChIJhYJfjL31NIgR3phOvhgBNEs,DBO's,40.4532124,-80.05370909999999,"635 Hillsboro St, Pittsburgh, PA 15204, USA",635,Hillsboro Street,Sheraden,15204,,,4.8,15,,,1200,1800,1200,1800,1200,1800,1200,1800,1200,1800,1000,1500
ChIJb1vGv1_2NIgRTz6RVpyC9Do,Angkor Restaurant,40.4271138,-80.0562528,"2350 Noblestown Rd # 18, Pittsburgh, PA 15205, USA",2350,Noblestown Road,Oakwood,15205,,2,4.6,282,,,1130,2100,1130,2100,1130,2100,1130,2100,1130,2100,1130,2100
ChIJb1vGv1_2NIgRHMolqSfzEd4,Blinky's Noble Grill & Bar,40.42765629999999,-80.0551851,"2350 Noblestown Rd # 11, Pittsburgh, PA 15205, USA",2350,Noblestown Road,Oakwood,15205,False,1,4.3,309,1100,0200,1100,0200,1100,0200,1100,0200,1100,0200,1100,0200,1100,0200
ChIJX9Zv-Zz2NIgRuL5tXjwo8mU,Lorenz Cafe,40.44476889999999,-80.0397115,"718 Lorenz Ave, Pittsburgh, PA 15220, USA",718,Lorenz Avenue,Elliott,15220,False,1,4.1,136,1200,2000,1200,2000,1200,2000,1200,2200,1200,2200,1200,2300,1200,2300
ChIJPUHlkVH3NIgRMwVmDx22dPM,NakaEndZone BBQ,40.43808,-80.054655,"1310 Crafton Blvd, Pittsburgh, PA 15205, USA",1310,Crafton Boulevard,Crafton Heights,15205,True,,4.8,195,1200,1900,,,,,1200,1900,1200,1900,1200,1900,1200,1900
ChIJFboKMAD0NIgR3_ajWICnKI0,Burgatory,40.4462352,-80.01091,"342 N Shore Dr, Pittsburgh, PA 15212, USA",342,North Shore Drive,North Shore,15212,True,2,4.5,3347,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,1100,2200,1100,2200
ChIJb1vGv1_2NIgRenmWzsqUhas,Wiggy’s,40.4271405,-80.05612649999999,"2350 Noblestown Rd, Pittsburgh, PA 15205, USA",2350,Noblestown Road,Oakwood,15205,False,1,4.3,382,1200,2000,,,1100,2100,1100,2100,1100,2100,1100,2200,1100,2200
ChIJJ8cTqwX0NIgRX60PcZPX4Qk,Lola Bistro,40.453668,-80.01688999999999,"1100 Galveston Ave, Pittsburgh, PA 15233, USA",1100,Galveston Avenue,Central Northside,15233,True,,4.8,73,1100,1500,,,,,1700,2200,1700,2200,1700,2200,1700,2200
ChIJ7WeBIaf1NIgRUhUutFl8HT4,Flavors Famous Street Food,40.4758776,-80.0315512,"3231 Brighton Rd, Pittsburgh, PA 15212, USA",3231,Brighton Road,Brighton Heights,15212,False,2,4.6,308,1200,2000,,,1100,2000,1100,2000,1100,2000,1100,2100,1100,2100
ChIJZ9HVIeX3NIgR-RdDK-aoOsM,Café 412,40.4416844,-80.0330972,"400 S Main St, Pittsburgh, PA 15220, USA",400,South Main Street,West End,15220,,,4.9,142,0830,1300,0730,1400,0730,1400,0730,1400,0730,1400,0730,1400,0830,1300
