place_id,neighborhood,fire_incidents
ChIJhYJfjL31NIgR3phOvhgBNEs,Sheraden,32
ChIJb1vGv1_2NIgRTz6RVpyC9Do,Oakwood,5
ChIJb1vGv1_2NIgRHMolqSfzEd4,Oakwood,6
ChIJX9Zv-Zz2NIgRuL5tXjwo8mU,Elliott,31
ChIJPUHlkVH3NIgRMwVmDx22dPM,Crafton Heights,8
ChIJFboKMAD0NIgR3_ajWICnKI0,North Shore,10
ChIJb1vGv1_2NIgRenmWzsqUhas,Oakwood,5
ChIJJ8cTqwX0NIgRX60PcZPX4Qk,Central Northside,45
ChIJ7WeBIaf1NIgRUhUutFl8HT4,Brighton Heights,32
ChIJZ9HVIeX3NIgR-RdDK-aoOsM,West End,6
ChIJCZt9jGr0NIgRnHFkByewW6g,Marshall-Shadeland,35
ChIJ9a5DwUXxNIgRC6-yEQyMP8U,Mount Washington,8
ChIJNeHKtlTxNIgRckF-LWyvV9o,Downtown,29
ChIJz9L393j1NIgRCTArZ4XFi04,Perry South,18
ChIJW6W5FfzzNIgRi6lgJLW8Aho,North Shore,14
ChIJA7LQoAnxNIgRgz6A5pCAn5Y,Downtown,47
ChIJ5z5YBGzzNIgRu-3O-CYgRE8,East Allegheny,37
ChIJe4jpY2fxNIgRn_6d_xowFCY,Crawford-Roberts,36
ChIJ1_J7HkrxNIgRfXm2Q5-nXq8,Downtown,26
ChIJq6pqogL0NIgRHpeb1YPLYew,Chateau,21
ChIJ11rR6lfxNIgR03gTMwov9Cw,Downtown,83
ChIJx0xROVHxNIgRrOWSgKOkKQg,Downtown,42
ChIJA6GHZ8LzNIgRlmHwal0mXe4,Strip District,20
ChIJ1ap81jr3NIgRcMa0_B2Xiks,Brookline,22
ChIJb16-F93zNIgRHTza1dKHLho,Strip District,14
ChIJp9joIIzxNIgRDJd61ntI7Tg,Downtown,89
ChIJj9KN2XTzNIgRcQ9pa7ipKc4,East Allegheny,59
ChIJ65fOYW7xNIgRysm3Bt-J0tc,South Side Flats,61
ChIJK8_lkybyNIgR43zvp69dapA,North Oakland,30
ChIJbarnmffzNIgRTTHTIIPolZg,Central Northside,60
ChIJbYHoGSvyNIgRMM_kAcafwn0,North Oakland,33
ChIJzcfPD0LxNIgRtxMnMJi_aes,South Side Flats,34
ChIJU_bticTzNIgRITfeUtt1V5w,Strip District,8
ChIJ1Rs45933NIgRw9lKs0mGS0o,Fairywood,1
ChIJb1vGv1_2NIgRIDgpsjE9d3Q,Oakwood,5
ChIJsRlsnIr2NIgRhMWMKrdRWY4,Westwood,12
ChIJ7Qg5r9b1NIgRsfDQeFiPDQ0,Sheraden,21
ChIJX3TbmQT0NIgRjXCvau84uyM,Allegheny-West,31
ChIJVZKH5vDzNIgRtHfQm2LeeOE,East Allegheny,34
ChIJQ-R_o2n0NIgRDT40vwLXim8,Marshall-Shadeland,23
ChIJoYdANg_0NIgRPb8Dh39XL-Y,Central Northside,29
ChIJWdR2eVbxNIgRzpdEhWgxgmE,Downtown,95
ChIJr9-tVFfxNIgRUSGsRKuY5Bg,Downtown,54
ChIJMxT6nlPxNIgRFeNI5VxIRTk,Downtown,13
ChIJ0TrRNxXzNIgRAhNJBe7AZ0U,Strip District,19
ChIJ0QkVm4X1NIgRi5kgmNwBiIM,Allegheny Center,40
ChIJZXcN1HnzNIgR6bUI8nL1uV8,Central Northside,57
ChIJXd7742n3NIgRq9G16_xA6uI,Elliott,33
ChIJp7J-MaL1NIgRYr9GHwUs5Ls,Manchester,31
ChIJX5GVBIL1NIgRykfo3j2bR_Q,Chateau,16
ChIJi4fvJZb2NIgRn4e39Wyovvc,West End,4
ChIJaa78xV70NIgR2lYFoRs3cyU,Brighton Heights,11
ChIJLwV565z2NIgRIRvVCDCb7WI,Elliott,33
ChIJqTRpZFr0NIgRfB8sXNIOp3o,Brighton Heights,20
ChIJy5jq0TjxNIgRcTz4JoBNDgo,Allentown,63
ChIJb1vGv1_2NIgRSBcItOk_ru0,Oakwood,5
ChIJJZ5vVPX2NIgRSxdM1T5midk,Westwood,8
ChIJlRGtqor2NIgROYUiwpdjbGg,Westwood,10
ChIJ_8x4WV72NIgRdHZtt9X8GVU,Oakwood,3
ChIJt_Ur43L3NIgRacyHl8fofXc,Crafton Heights,7
ChIJu3SaTPX2NIgR74g_OkXoxZ0,Westwood,6
ChIJD2S7oJf2NIgRlyHw08SanEo,West End,8
ChIJOQEpVtn2NIgRYSWgTW5Jheg,Beechview,32
ChIJ07YvcLH2NIgRYuOrEBUNga0,Mount Washington,8
ChIJO_NPgjr3NIgRsh37RlCnxCg,Brookline,34
ChIJS2LvJBXxNIgRrTEEM5y0G4g,South Side Slopes,24
ChIJj3vuFwX3NIgRb1BDekR9gfQ,Banksville,4
ChIJNToRgcX1NIgR-GSNMKCtX1Y,Allegheny-West,31
ChIJz1P8hZz2NIgRRuLBP_kT7FA,Elliott,38
ChIJt62jMx30NIgRibh1mXpcjig,Chateau,14
ChIJnTohch30NIgR3yhnVJ8oJJc,Chateau,15
ChIJBST-0Jj2NIgRuZY91BqYQY0,West End,6
ChIJPz5dmKX2NIgRgcESndEXxLQ,Duquesne Heights,14
ChIJbdz5ZEv1NIgRB59fHPt9DgA,Chateau,15
ChIJ-QhLYVbxNIgR7Hk4Ca0Qesc,Downtown,97
ChIJixr3YwL0NIgRIM-xM8ZFYFE,North Shore,17
ChIJd7igQwT0NIgRioSao7dLIBc,Allegheny-West,35
ChIJQWJcZ0vxNIgR4EY0p31x-BU,Mount Washington,35
ChIJKcgUmvfzNIgRBLShl8PA9U8,Central Northside,59
ChIJrU-zYQT0NIgRDOEgCd7HCKk,Allegheny-West,35
ChIJje1fLV3zNIgRPJ7_uwJbcxI,North Shore,14
ChIJxTDgjgT0NIgRewoOyzRCUxE,Allegheny-West,30
ChIJe02f2ln0NIgRuSKZiAt1vyg,Brighton Heights,13
ChIJ61FkY1r0NIgRII7jzrAhpqM,Brighton Heights,22
ChIJNcn3HWj0NIgRSw7-siX98oE,Brighton Heights,32
ChIJDYClFV71NIgRhvMb_CtJ2L4,Perry North,26
ChIJHWATNfDzNIgRDHPJXMN4wFw,East Allegheny,49
ChIJm-T3ZwT0NIgRXhIHSZHyBB0,Allegheny-West,29
ChIJhxsVUjH1NIgRNfLs1waTrkc,Manchester,19
ChIJDS_4ZA_0NIgRm4werE0wkBo,California-Kirkbride,22
ChIJbXv84wX0NIgRocFxXgoWztk,Central Northside,38
ChIJaZkHl_f1NIgRDo8-Ih0S-68,Central Northside,25
ChIJV-WNXQT0NIgRIlshvd0VSxE,Allegheny-West,34
ChIJjwuJs67zNIgRf-pZyHcOnq0,Central Northside,60
ChIJ-2C3sPfzNIgRpVpqW11Hncs,East Allegheny,74
ChIJR4nVEVbxNIgRbbtd9j788xU,Downtown,76
ChIJ35Bl9PjzNIgRTIhia8PVFEY,Allegheny Center,35
ChIJGRG_kPrzNIgRJRT0EjM9vSI,East Allegheny,56
ChIJp2EIZfDzNIgRq-iQ1IuOs3Y,East Allegheny,49
ChIJZapX9vjzNIgRSu7rbfVfChA,Allegheny Center,43
ChIJ09EneFjxNIgRypwsHoGxIE8,Downtown,41
ChIJTySFk8PzNIgR9oYnssqat_A,Central Northside,78
ChIJl6nD-7HzNIgRcECP9TxqAgI,Allegheny Center,43
ChIJL9Eeh873NIgR2hDDPRrp9eQ,West End,8
ChIJT3VNbcL2NIgRJhpHdjLRND0,Banksville,2
ChIJa_26Rt32NIgR_dkqGwuJicE,Banksville,4
ChIJC2lwoS73NIgRD03ZeaPgShI,Duquesne Heights,9
ChIJi3B3Jdn2NIgRIBfXm2xDBdU,Beechview,27
ChIJwW2TOhvxNIgRjQgQNnvtL1g,Mount Washington,33
ChIJuWIkXnf3NIgRTkga-T2a3OU,Beechview,32
ChIJsZMZQkvxNIgRTT3U6FiRBx4,Mount Washington,40
ChIJNeGZU0rxNIgRF4szdKzPtMI,Mount Washington,32
ChIJs2Jlv1bxNIgR1BjwPx-efhY,Downtown,94
ChIJocY703XxNIgRA9d4UXqFr3Y,South Side Flats,13
ChIJEX3InVbxNIgR7Ks0egVltU0,Downtown,83
ChIJx5zxCnHxNIgRPH6fkywaXag,South Side Flats,50
ChIJp-Y2qlr3NIgRnaDZ8mfO25w,Beechview,9
ChIJVVUibMvzNIgRVZ1yKw3j6MI,Polish Hill,20
