PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
-3218234799,22156251,0,2022-09-26T10:48:00,"200 Block Reifert St Pittsburgh, PA 15210",N,Knoxville,3,99,9999 9999 - (Misc. Incident): ,3001,3,5,-79.9921143140098,40.4081378138273
291943355,22156290,0,2022-09-26T11:53:00,"5000 Block 2nd Ave Pittsburgh, PA 15207",Y,Hazelwood,4,99,9999 9999 - (Misc. Incident): ,1515,5,3,-79.9436863570209,40.4085502514463
293365062,22165846,10,2022-10-13T07:35:00,"2000 Block 5th Ave Pittsburgh, PA 15219",N,Bluff,2,HARRASSMENT,2709 Harassment (Non-Specific),103,6,3,-79.9775329065649,40.4380106868591
293903564,22169167,6,2022-10-18T02:00:00,"500 Block Lockhart St Pittsburgh, PA 15212",N,East Allegheny,1,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",2304,1,1,-80.0000652127863,40.4525584766784
292498416,22159837,0,2022-10-02T13:00:00,"1600 Block Saw Mill Run Blvd Pittsburgh, PA 15210",N,Brookline,6,99,9999 9999 - (Misc. Incident): ,3206,4,5,-80.0006305335709,40.399967384426
292539443,22160065,27,2022-10-02T22:53:00,"2500 Block S 18th St Pittsburgh, PA 15203",N,South Side Slopes,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1706,3,3,-79.9841015034847,40.4219419102928
292557881,22160213,0,2022-10-03T08:04:00,"400 Block Conniston Ave Pittsburgh, PA 15210",N,Bon Air,3,99,3503(b.1) Criminal Trespass - Simple Trespasser,1806,4,5,-79.9992386132175,40.4050095502296
292603825,22160398,0,2022-10-03T13:01:00,"2600 Block Veteran St Pittsburgh, PA 15214",N,Perry South,1,99,9993 PFA Service with Weapons Supplement,2615,6,1,-80.0093928552071,40.4721345709039
292606021,22160384,99,2022-10-03T13:24:00,"5100 Block Rosecrest Pl Pittsburgh, PA 15201",N,Stanton Heights,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1005,9,2,-79.9352151452669,40.476207000787
292607296,22160440,27,2022-10-03T13:51:00,"Ohio River Blvd & Brighton Heights Blvd Pittsburgh, PA 15212",N,Brighton Heights,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2701,1,1,-80.0438091381472,40.4796086767247
