place_id,neighborhood,value
ChIJhYJfjL31NIgR3phOvhgBNEs,Sheraden,64
ChIJb1vGv1_2NIgRTz6RVpyC9Do,Oakwood,5
ChIJb1vGv1_2NIgRHMolqSfzEd4,Oakwood,7
ChIJX9Zv-Zz2NIgRuL5tXjwo8mU,Elliott,26
ChIJPUHlkVH3NIgRMwVmDx22dPM,Crafton Heights,27
ChIJFboKMAD0NIgR3_ajWICnKI0,North Shore,158
ChIJb1vGv1_2NIgRenmWzsqUhas,Oakwood,5
ChIJJ8cTqwX0NIgRX60PcZPX4Qk,Central Northside,115
ChIJ7WeBIaf1NIgRUhUutFl8HT4,Brighton Heights,65
ChIJZ9HVIeX3NIgR-RdDK-aoOsM,West End,27
ChIJCZt9jGr0NIgRnHFkByewW6g,Marshall-Shadeland,65
ChIJ9a5DwUXxNIgRC6-yEQyMP8U,Mount Washington,63
ChIJNeHKtlTxNIgRckF-LWyvV9o,Downtown,197
ChIJz9L393j1NIgRCTArZ4XFi04,Perry South,37
ChIJW6W5FfzzNIgRi6lgJLW8Aho,North Shore,258
ChIJA7LQoAnxNIgRgz6A5pCAn5Y,Downtown,282
ChIJ5z5YBGzzNIgRu-3O-CYgRE8,East Allegheny,96
ChIJe4jpY2fxNIgRn_6d_xowFCY,Crawford-Roberts,125
ChIJ1_J7HkrxNIgRfXm2Q5-nXq8,Downtown,233
ChIJq6pqogL0NIgRHpeb1YPLYew,Chateau,62
ChIJ11rR6lfxNIgR03gTMwov9Cw,Downtown,268
ChIJx0xROVHxNIgRrOWSgKOkKQg,Downtown,237
ChIJA6GHZ8LzNIgRlmHwal0mXe4,Strip District,102
ChIJ1ap81jr3NIgRcMa0_B2Xiks,Brookline,51
ChIJb16-F93zNIgRHTza1dKHLho,Strip District,95
ChIJp9joIIzxNIgRDJd61ntI7Tg,Downtown,247
ChIJj9KN2XTzNIgRcQ9pa7ipKc4,East Allegheny,128
ChIJ65fOYW7xNIgRysm3Bt-J0tc,South Side Flats,139
ChIJK8_lkybyNIgR43zvp69dapA,North Oakland,70
ChIJbarnmffzNIgRTTHTIIPolZg,Central Northside,146
ChIJbYHoGSvyNIgRMM_kAcafwn0,North Oakland,94
ChIJzcfPD0LxNIgRtxMnMJi_aes,South Side Flats,165
ChIJU_bticTzNIgRITfeUtt1V5w,Strip District,76
ChIJ1Rs45933NIgRw9lKs0mGS0o,Fairywood,4
ChIJb1vGv1_2NIgRIDgpsjE9d3Q,Oakwood,7
ChIJsRlsnIr2NIgRhMWMKrdRWY4,Westwood,10
ChIJ7Qg5r9b1NIgRsfDQeFiPDQ0,Sheraden,54
ChIJX3TbmQT0NIgRjXCvau84uyM,Allegheny-West,113
ChIJVZKH5vDzNIgRtHfQm2LeeOE,East Allegheny,133
ChIJQ-R_o2n0NIgRDT40vwLXim8,Marshall-Shadeland,61
ChIJoYdANg_0NIgRPb8Dh39XL-Y,Central Northside,104
ChIJWdR2eVbxNIgRzpdEhWgxgmE,Downtown,227
ChIJr9-tVFfxNIgRUSGsRKuY5Bg,Downtown,242
ChIJMxT6nlPxNIgRFeNI5VxIRTk,Downtown,226
ChIJ0TrRNxXzNIgRAhNJBe7AZ0U,Strip District,232
ChIJ0QkVm4X1NIgRi5kgmNwBiIM,Allegheny Center,163
ChIJZXcN1HnzNIgR6bUI8nL1uV8,Central Northside,147
ChIJXd7742n3NIgRq9G16_xA6uI,Elliott,26
ChIJp7J-MaL1NIgRYr9GHwUs5Ls,Manchester,108
ChIJX5GVBIL1NIgRykfo3j2bR_Q,Chateau,60
ChIJi4fvJZb2NIgRn4e39Wyovvc,West End,16
ChIJaa78xV70NIgR2lYFoRs3cyU,Brighton Heights,45
ChIJLwV565z2NIgRIRvVCDCb7WI,Elliott,26
ChIJqTRpZFr0NIgRfB8sXNIOp3o,Brighton Heights,49
ChIJy5jq0TjxNIgRcTz4JoBNDgo,Allentown,132
ChIJb1vGv1_2NIgRSBcItOk_ru0,Oakwood,7
ChIJJZ5vVPX2NIgRSxdM1T5midk,Westwood,9
ChIJlRGtqor2NIgROYUiwpdjbGg,Westwood,9
ChIJ_8x4WV72NIgRdHZtt9X8GVU,Oakwood,4
ChIJt_Ur43L3NIgRacyHl8fofXc,Crafton Heights,27
ChIJu3SaTPX2NIgR74g_OkXoxZ0,Westwood,9
ChIJD2S7oJf2NIgRlyHw08SanEo,West End,18
ChIJOQEpVtn2NIgRYSWgTW5Jheg,Beechview,33
ChIJ07YvcLH2NIgRYuOrEBUNga0,Mount Washington,65
ChIJO_NPgjr3NIgRsh37RlCnxCg,Brookline,51
ChIJS2LvJBXxNIgRrTEEM5y0G4g,South Side Slopes,173
ChIJj3vuFwX3NIgRb1BDekR9gfQ,Banksville,5
ChIJNToRgcX1NIgR-GSNMKCtX1Y,Allegheny-West,114
ChIJz1P8hZz2NIgRRuLBP_kT7FA,Elliott,23
ChIJt62jMx30NIgRibh1mXpcjig,Chateau,43
ChIJnTohch30NIgR3yhnVJ8oJJc,Chateau,60
ChIJBST-0Jj2NIgRuZY91BqYQY0,West End,25
ChIJPz5dmKX2NIgRgcESndEXxLQ,Duquesne Heights,28
ChIJbdz5ZEv1NIgRB59fHPt9DgA,Chateau,60
ChIJ-QhLYVbxNIgR7Hk4Ca0Qesc,Downtown,262
ChIJixr3YwL0NIgRIM-xM8ZFYFE,North Shore,67
ChIJd7igQwT0NIgRioSao7dLIBc,Allegheny-West,117
ChIJQWJcZ0vxNIgR4EY0p31x-BU,Mount Washington,91
ChIJKcgUmvfzNIgRBLShl8PA9U8,Central Northside,146
ChIJrU-zYQT0NIgRDOEgCd7HCKk,Allegheny-West,115
ChIJje1fLV3zNIgRPJ7_uwJbcxI,North Shore,255
ChIJxTDgjgT0NIgRewoOyzRCUxE,Allegheny-West,114
ChIJe02f2ln0NIgRuSKZiAt1vyg,Brighton Heights,36
ChIJ61FkY1r0NIgRII7jzrAhpqM,Brighton Heights,48
ChIJNcn3HWj0NIgRSw7-siX98oE,Brighton Heights,65
ChIJDYClFV71NIgRhvMb_CtJ2L4,Perry North,14
ChIJHWATNfDzNIgRDHPJXMN4wFw,East Allegheny,118
ChIJm-T3ZwT0NIgRXhIHSZHyBB0,Allegheny-West,118
ChIJhxsVUjH1NIgRNfLs1waTrkc,Manchester,71
ChIJDS_4ZA_0NIgRm4werE0wkBo,California-Kirkbride,108
ChIJbXv84wX0NIgRocFxXgoWztk,Central Northside,121
ChIJaZkHl_f1NIgRDo8-Ih0S-68,Central Northside,109
ChIJV-WNXQT0NIgRIlshvd0VSxE,Allegheny-West,118
ChIJjwuJs67zNIgRf-pZyHcOnq0,Central Northside,148
ChIJ-2C3sPfzNIgRpVpqW11Hncs,East Allegheny,133
ChIJR4nVEVbxNIgRbbtd9j788xU,Downtown,237
ChIJ35Bl9PjzNIgRTIhia8PVFEY,Allegheny Center,167
ChIJGRG_kPrzNIgRJRT0EjM9vSI,East Allegheny,137
ChIJp2EIZfDzNIgRq-iQ1IuOs3Y,East Allegheny,131
ChIJZapX9vjzNIgRSu7rbfVfChA,Allegheny Center,162
ChIJ09EneFjxNIgRypwsHoGxIE8,Downtown,280
ChIJTySFk8PzNIgR9oYnssqat_A,Central Northside,136
ChIJl6nD-7HzNIgRcECP9TxqAgI,Allegheny Center,162
ChIJL9Eeh873NIgR2hDDPRrp9eQ,West End,18
ChIJT3VNbcL2NIgRJhpHdjLRND0,Banksville,12
ChIJa_26Rt32NIgR_dkqGwuJicE,Banksville,21
ChIJC2lwoS73NIgRD03ZeaPgShI,Duquesne Heights,29
ChIJi3B3Jdn2NIgRIBfXm2xDBdU,Beechview,45
ChIJwW2TOhvxNIgRjQgQNnvtL1g,Mount Washington,96
ChIJuWIkXnf3NIgRTkga-T2a3OU,Beechview,34
ChIJsZMZQkvxNIgRTT3U6FiRBx4,Mount Washington,87
ChIJNeGZU0rxNIgRF4szdKzPtMI,Mount Washington,92
ChIJs2Jlv1bxNIgR1BjwPx-efhY,Downtown,250
ChIJocY703XxNIgRA9d4UXqFr3Y,South Side Flats,58
ChIJEX3InVbxNIgR7Ks0egVltU0,Downtown,246
ChIJx5zxCnHxNIgRPH6fkywaXag,South Side Flats,92
ChIJp-Y2qlr3NIgRnaDZ8mfO25w,Beechview,30
ChIJVVUibMvzNIgRVZ1yKw3j6MI,Polish Hill,58
ChIJe3ympVbxNIgRq2bl_i37GQA,Downtown,250
ChIJw15qL3TxNIgR1-JYqkctWxo,South Side Flats,58
ChIJ9buawkvyNIgRtuSs0OqiK6I,Lower Lawrenceville,79
ChIJJdPcGIrzNIgR4he_3_nQQxM,Strip District,92
ChIJT1r2IFj3NIgRrJ8iwasf9HE,Beechview,29
ChIJ9xkce932NIgRSiyVq84hrKY,Banksville,25
ChIJP26l3tzzNIgRyle3s1NMfac,Beechview,32
ChIJUTCorzr3NIgRufBFZYqcUZU,Beechview,42
ChIJV5T8ZFj3NIgRwPq8B4iUjYQ,Banksville,13
ChIJ4122GCj3NIgR4EygOp9VQyw,Brookline,44
ChIJ9R6o7hz3NIgRoXHX6b9F_yI,Banksville,15
ChIJscaPKe_xNIgR2QpQkr3O8h8,South Shore,185
